Airline,month,day ,Source,Destination,Dep_Time,Arrival_Time,Total_Stops,Dgree,Duration(Minutes),day_number,Price_USD
IndiGo,5,1,Banglore,Delhi,18:55,21:50,0.0,Economy,175,2,55.4367816091954
Jet Airways,5,6,Kolkata,Banglore,18:55,08:15,1.0,Business,800,0,89.16091954022988
Jet Airways,6,9,Delhi,Cochin,21:25,12:35,2.0,Business,910,6,152.7816091954023
IndiGo,6,1,Delhi,Cochin,21:50,03:35,1.0,Business,345,5,94.6896551724138
GoAir,5,15,Delhi,Cochin,07:00,12:55,1.0,Business,355,2,88.29885057471265
Vistara,6,18,Banglore,Delhi,09:45,12:35,0.0,Economy,170,1,53.6551724137931
Vistara,6,15,Chennai,Kolkata,07:05,09:20,0.0,Economy,135,5,42.37931034482759
Vistara,6,18,Chennai,Kolkata,07:05,09:20,0.0,Economy,135,1,42.37931034482759
Air India,5,1,Kolkata,Banglore,09:50,23:15,2.0,Business,805,2,152.0344827586207
IndiGo,4,6,Banglore,Delhi,04:00,06:50,0.0,Economy,170,5,50.83908045977012
Jet Airways,6,15,Delhi,Cochin,14:35,12:35,2.0,Business,1320,5,125.5057471264368
Jet Airways,5,18,Delhi,Cochin,07:05,12:35,1.0,Business,330,5,142.2183908045977
IndiGo,6,27,Delhi,Cochin,10:35,21:00,1.0,Economy,625,3,67.74712643678161
SpiceJet,5,21,Kolkata,Banglore,15:05,20:20,1.0,Economy,315,1,53.4367816091954
Air India,5,18,Kolkata,Banglore,14:15,16:45,0.0,Economy,150,5,71.7816091954023
Jet Airways,3,6,Banglore,New Delhi,07:00,13:15,1.0,First Class,375,2,220.97701149425288
Jet Airways,6,3,Delhi,Cochin,07:05,19:00,1.0,Business,715,0,171.54022988505747
Multiple carriers,5,21,Delhi,Cochin,07:05,18:10,1.0,Business,665,1,110.8735632183908
Air India,3,15,Banglore,New Delhi,06:45,15:15,1.0,Business,510,4,100.16091954022988
Jet Airways,5,18,Delhi,Cochin,20:55,19:00,1.0,Business,1325,5,142.2183908045977
Air Asia,5,6,Banglore,Delhi,11:10,13:55,0.0,Economy,165,0,38.88505747126437
Multiple carriers,3,21,Delhi,Cochin,09:00,21:00,1.0,Business,720,3,150.13793103448276
SpiceJet,3,24,Banglore,New Delhi,05:45,08:35,0.0,Economy,170,6,40.54022988505747
IndiGo,5,27,Banglore,Delhi,04:00,06:50,0.0,Economy,170,0,45.32183908045977
Air India,5,3,Chennai,Kolkata,11:40,13:55,0.0,Economy,135,4,53.64367816091954
Air India,5,15,Kolkata,Banglore,19:00,11:05,1.0,Economy,965,2,70.3103448275862
Jet Airways,6,27,Delhi,Cochin,23:05,19:00,2.0,Business,1195,3,128.16091954022988
Jet Airways,3,9,Delhi,Cochin,11:00,14:15,0.0,Business,195,5,82.7816091954023
Jet Airways,5,1,Kolkata,Banglore,09:35,10:55,1.0,Business,1520,2,139.32183908045977
IndiGo,3,24,Banglore,New Delhi,22:20,01:10,0.0,Economy,170,6,50.310344827586206
IndiGo,6,18,Banglore,Delhi,21:15,00:15,0.0,Economy,180,1,45.32183908045977
Air Asia,4,3,Banglore,Delhi,23:55,02:45,0.0,Economy,170,2,51.52873563218391
Jet Airways,3,24,Kolkata,Banglore,19:45,12:00,1.0,Business,975,6,163.57471264367817
Air India,3,1,Banglore,New Delhi,08:50,23:55,2.0,Business,905,4,199.367816091954
Vistara,3,6,Chennai,Kolkata,07:05,09:20,0.0,Business,135,2,85.2183908045977
Multiple carriers,5,6,Delhi,Cochin,19:00,01:30,1.0,Business,390,0,92.79310344827586
Vistara,3,6,Mumbai,Hyderabad,15:40,16:45,1.0,Business,1505,2,142.4712643678161
Air India,6,6,Kolkata,Banglore,09:25,21:50,1.0,Business,745,3,96.16091954022988
Air India,4,3,Delhi,Cochin,06:05,09:25,1.0,Economy,1640,2,58.81609195402299
Multiple carriers,6,3,Delhi,Cochin,08:45,19:00,1.0,Business,615,0,143.95402298850576
IndiGo,5,15,Delhi,Cochin,15:00,01:30,1.0,Business,630,2,82.65517241379311
Vistara,5,24,Chennai,Kolkata,07:05,09:20,0.0,Economy,135,4,42.37931034482759
IndiGo,6,24,Delhi,Cochin,10:35,21:00,1.0,Economy,625,0,67.74712643678161
Vistara,4,24,Banglore,Delhi,09:45,12:35,0.0,Economy,170,2,62.10344827586207
Air India,5,6,Mumbai,Hyderabad,13:55,15:25,0.0,Economy,90,0,41.66666666666666
Air India,5,21,Delhi,Cochin,05:55,19:15,2.0,Business,800,1,124.83908045977012
IndiGo,3,12,Chennai,Kolkata,13:20,15:35,0.0,Business,135,1,72.37931034482759
Jet Airways,6,1,Mumbai,Hyderabad,07:05,08:30,0.0,Business,85,5,65.26436781609195
Jet Airways,3,9,Banglore,New Delhi,05:45,08:15,1.0,Business,1590,5,104.98850574712644
Multiple carriers,6,24,Delhi,Cochin,11:40,19:00,1.0,Business,440,0,124.03448275862068
Jet Airways,6,24,Delhi,Cochin,23:05,12:35,2.0,Business,810,0,147.3448275862069
IndiGo,3,21,Delhi,Cochin,05:05,10:05,1.0,Economy,300,3,79.22988505747126
Vistara,3,9,Banglore,New Delhi,09:50,12:35,0.0,Business,165,5,83.2183908045977
GoAir,4,3,Banglore,Delhi,11:40,14:30,0.0,Economy,170,2,44.80459770114943
IndiGo,4,3,Mumbai,Hyderabad,06:25,07:55,0.0,Economy,90,2,46.54022988505747
Jet Airways,6,15,Delhi,Cochin,17:30,12:35,1.0,Business,1145,5,117.95402298850574
SpiceJet,3,21,Chennai,Kolkata,08:20,10:35,0.0,Economy,135,3,38.298850574712645
Jet Airways,6,9,Kolkata,Banglore,21:10,12:00,1.0,Business,890,6,124.64367816091954
Jet Airways,3,24,Banglore,New Delhi,19:55,22:35,0.0,Business,160,6,83.0919540229885
Jet Airways,5,6,Kolkata,Banglore,06:30,04:40,1.0,Business,1330,0,160.24137931034485
IndiGo,6,27,Delhi,Cochin,11:25,21:00,1.0,Economy,575,3,67.74712643678161
Multiple carriers,5,18,Delhi,Cochin,09:00,19:00,1.0,Business,600,5,117.20689655172414
Jet Airways,3,6,Banglore,New Delhi,14:05,11:25,1.0,Business,1280,2,157.60919540229884
IndiGo,6,24,Delhi,Cochin,02:00,07:25,1.0,Economy,325,0,64.7816091954023
Jet Airways,6,6,Delhi,Cochin,09:40,04:25,2.0,Business,1125,3,149.58620689655172
Jet Airways,4,1,Kolkata,Banglore,08:25,20:45,1.0,Business,740,0,81.19540229885058
Jet Airways,5,24,Kolkata,Banglore,20:25,14:25,1.0,Business,1080,4,123.02298850574712
Multiple carriers,5,27,Delhi,Cochin,13:15,22:30,1.0,Business,555,0,110.8735632183908
Multiple carriers,3,6,Delhi,Cochin,02:15,13:20,1.0,Business,665,2,196.05747126436785
Jet Airways,3,12,Banglore,New Delhi,16:55,10:25,1.0,Business,1050,1,158.816091954023
Air India,3,6,Delhi,Cochin,05:55,19:15,2.0,Business,800,2,158.02298850574712
Air India,4,21,Kolkata,Banglore,20:45,23:20,0.0,Economy,155,6,56.0919540229885
IndiGo,6,21,Chennai,Kolkata,05:15,07:40,0.0,Economy,145,4,40.689655172413794
SpiceJet,5,15,Banglore,Delhi,05:55,08:35,0.0,Economy,160,2,37.4367816091954
Jet Airways,6,3,Banglore,Delhi,19:50,22:50,0.0,Economy,180,0,74.45977011494253
Jet Airways,6,18,Mumbai,Hyderabad,07:05,08:30,0.0,Business,85,1,92.41379310344828
Jet Airways,6,12,Delhi,Cochin,20:00,12:35,2.0,Business,995,2,164.367816091954
Jet Airways,5,15,Kolkata,Banglore,08:25,20:45,1.0,Business,740,2,169.89655172413794
Jet Airways,6,9,Kolkata,Banglore,20:00,08:15,1.0,Business,735,6,171.71264367816093
Jet Airways,6,24,Delhi,Cochin,20:55,04:25,1.0,Business,450,0,117.95402298850574
Air India,5,12,Kolkata,Banglore,14:35,14:35,1.0,Business,1440,6,75.03448275862068
Air India,5,1,Banglore,Delhi,06:10,08:55,0.0,Economy,165,2,70.35632183908046
Jet Airways,5,18,Delhi,Cochin,19:30,04:25,2.0,Business,535,5,149.75862068965515
Multiple carriers,3,27,Delhi,Cochin,11:40,18:50,1.0,Business,430,2,131.27586206896552
Multiple carriers,3,27,Delhi,Cochin,04:45,19:15,1.0,Business,870,2,87.05747126436782
Air India,5,9,Delhi,Cochin,12:55,19:15,2.0,Business,1820,3,133.28735632183907
Jet Airways,5,24,Delhi,Cochin,23:05,19:00,2.0,Business,1195,4,173.89655172413794
Jet Airways,3,18,Banglore,New Delhi,14:05,05:05,1.0,Business,900,0,155.80459770114942
IndiGo,4,12,Banglore,Delhi,18:55,21:50,0.0,Economy,175,4,66.4367816091954
Vistara,5,12,Kolkata,Banglore,20:20,09:05,1.0,Business,765,6,108.01149425287356
Jet Airways,3,6,Delhi,Cochin,18:15,04:25,1.0,Business,610,2,195.67816091954023
GoAir,6,27,Delhi,Cochin,07:00,12:55,1.0,Economy,355,3,60.70114942528736
Multiple carriers,5,18,Delhi,Cochin,07:05,22:30,1.0,Business,925,5,118.94252873563218
Air India,3,6,Delhi,Cochin,17:20,09:25,1.0,Business,965,2,145.71264367816093
Multiple carriers,3,3,Delhi,Cochin,15:25,01:35,1.0,Business,610,6,174.10344827586206
Vistara,6,12,Banglore,Delhi,07:00,09:40,0.0,Economy,160,2,53.6551724137931
Jet Airways,5,9,Delhi,Cochin,07:05,19:00,1.0,Business,715,3,178.7816091954023
SpiceJet,4,9,Banglore,Delhi,05:55,08:35,0.0,Economy,160,1,45.64367816091954
Air India,5,3,Mumbai,Hyderabad,15:00,16:25,0.0,Economy,85,4,35.632183908045974
Jet Airways,5,6,Kolkata,Banglore,20:00,10:05,1.0,Business,845,0,111.06896551724138
Air India,3,1,Delhi,Cochin,23:00,19:15,1.0,First Class,1215,4,315.28735632183907
IndiGo,5,12,Chennai,Kolkata,05:15,07:40,0.0,Economy,145,6,40.689655172413794
Air India,5,21,Kolkata,Banglore,12:00,11:10,2.0,Business,1390,1,122.71264367816092
Jet Airways,6,12,Kolkata,Banglore,14:05,08:15,1.0,Business,1090,2,149.93103448275863
Jet Airways,5,6,Kolkata,Banglore,20:00,12:00,1.0,Business,960,0,165.3793103448276
IndiGo,6,24,Banglore,Delhi,04:00,06:50,0.0,Economy,170,0,45.32183908045977
IndiGo,6,3,Chennai,Kolkata,14:45,17:05,0.0,Economy,140,0,41.3448275862069
Air India,3,21,Banglore,New Delhi,11:50,19:50,1.0,Economy,480,3,68.183908045977
Jet Airways,6,15,Delhi,Cochin,11:30,04:25,1.0,Business,1015,5,117.95402298850574
Vistara,5,12,Delhi,Cochin,14:40,17:50,0.0,Economy,190,6,71.44827586206897
IndiGo,6,15,Kolkata,Banglore,20:25,23:10,0.0,Economy,165,5,55.2183908045977
Multiple carriers,5,21,Delhi,Cochin,11:30,01:30,1.0,Business,840,1,161.68965517241378
Jet Airways,5,18,Delhi,Cochin,19:10,19:00,2.0,Business,1430,5,173.89655172413794
Jet Airways,6,6,Delhi,Cochin,06:45,04:25,2.0,Business,1300,3,153.7471264367816
Air India,6,27,Delhi,Cochin,22:00,19:15,2.0,Business,1275,3,120.01149425287356
Jet Airways,5,24,Banglore,Delhi,06:00,08:45,0.0,Economy,165,4,46.32183908045977
Jet Airways,3,3,Delhi,Cochin,08:00,18:50,1.0,Business,650,6,195.67816091954023
Multiple carriers,4,9,Delhi,Cochin,17:30,01:30,1.0,Business,480,1,149.6206896551724
GoAir,6,6,Kolkata,Banglore,23:30,07:45,1.0,Business,495,3,76.85057471264368
IndiGo,6,15,Delhi,Cochin,02:00,07:25,1.0,Economy,325,5,64.7816091954023
IndiGo,6,9,Delhi,Cochin,07:35,16:10,1.0,Economy,515,6,74.04597701149426
Multiple carriers,5,21,Delhi,Cochin,13:05,00:55,1.0,Business,710,1,109.03448275862068
Jet Airways,5,21,Kolkata,Banglore,20:00,23:35,1.0,Business,1655,1,124.64367816091954
Jet Airways,6,3,Delhi,Cochin,20:00,04:25,2.0,Business,505,0,176.06896551724137
Air India,4,3,Delhi,Cochin,12:30,09:25,1.0,Economy,1255,2,58.81609195402299
IndiGo,6,24,Delhi,Cochin,15:10,20:00,1.0,Economy,290,0,70.65517241379311
Multiple carriers,6,9,Delhi,Cochin,12:50,21:00,1.0,Business,490,6,80.51724137931035
SpiceJet,4,3,Kolkata,Banglore,22:20,00:40,0.0,Economy,140,2,44.51724137931034
Jet Airways,3,21,Delhi,Cochin,18:25,18:50,2.0,Business,1465,3,106.55172413793105
GoAir,6,27,Banglore,Delhi,11:40,14:30,0.0,Economy,170,3,44.80459770114943
Jet Airways,5,12,Kolkata,Banglore,08:25,20:45,1.0,Business,740,6,169.89655172413794
Jet Airways,5,24,Kolkata,Banglore,20:00,08:15,1.0,Business,735,4,98.6896551724138
Air India,5,9,Kolkata,Banglore,08:20,07:55,2.0,Business,1415,3,122.95402298850574
Jet Airways,6,27,Delhi,Cochin,20:00,12:35,2.0,Business,995,3,164.367816091954
IndiGo,3,3,Banglore,New Delhi,18:55,21:45,0.0,Business,170,6,101.7816091954023
Jet Airways,5,12,Kolkata,Banglore,16:30,18:15,1.0,Business,1545,6,124.64367816091954
Jet Airways,3,6,Delhi,Cochin,02:15,04:25,1.0,Business,1570,2,195.67816091954023
Jet Airways,5,1,Kolkata,Banglore,09:35,14:25,1.0,Business,1730,2,107.05747126436782
IndiGo,3,24,Banglore,New Delhi,00:40,03:25,0.0,Economy,165,6,54.9080459770115
Air India,6,9,Kolkata,Banglore,12:00,13:15,1.0,Business,1515,6,88.06896551724138
IndiGo,5,9,Delhi,Cochin,06:50,16:10,1.0,Economy,560,3,74.04597701149426
SpiceJet,6,12,Delhi,Cochin,08:45,13:15,1.0,Economy,270,2,60.50574712643678
Jet Airways,5,27,Delhi,Cochin,13:00,04:25,1.0,Business,925,0,148.2528735632184
Air India,3,3,Mumbai,Hyderabad,13:55,15:25,0.0,Business,90,6,70.02298850574712
SpiceJet,5,21,Banglore,Delhi,05:55,08:35,0.0,Economy,160,1,38.05747126436781
Jet Airways,3,27,Delhi,Cochin,19:15,04:25,1.0,Economy,550,2,75.17241379310344
IndiGo,5,27,Banglore,Delhi,01:30,04:15,0.0,Economy,165,0,39.298850574712645
Jet Airways,4,3,Delhi,Cochin,14:00,12:35,1.0,Economy,1355,2,59.50574712643678
Air India,4,18,Delhi,Cochin,18:05,21:10,0.0,Business,185,3,94.7816091954023
Jet Airways,6,9,Kolkata,Banglore,09:35,21:05,1.0,Business,690,6,168.68965517241378
Multiple carriers,6,27,Delhi,Cochin,11:30,21:00,1.0,Business,570,3,156.17241379310346
Jet Airways,5,6,Kolkata,Banglore,21:10,09:20,1.0,Business,730,0,111.06896551724138
Jet Airways,6,12,Kolkata,Banglore,16:30,10:05,1.0,Business,1055,2,149.93103448275863
IndiGo,4,3,Delhi,Cochin,20:25,01:30,1.0,Economy,305,2,58.310344827586206
Vistara,5,21,Kolkata,Banglore,17:00,18:50,1.0,Business,1550,1,107.41379310344828
Jet Airways,5,6,Kolkata,Banglore,14:05,10:05,1.0,Business,1200,0,111.06896551724138
Multiple carriers,5,21,Delhi,Cochin,08:00,21:00,1.0,Business,780,1,164.10344827586206
Jet Airways,6,1,Delhi,Cochin,10:00,04:25,1.0,Business,1105,5,117.95402298850574
Jet Airways,3,27,Mumbai,Hyderabad,19:35,21:05,0.0,Business,90,2,65.26436781609195
Multiple carriers,5,15,Delhi,Cochin,16:00,01:30,1.0,Business,570,2,157.7816091954023
Jet Airways,5,6,Kolkata,Banglore,20:00,12:00,1.0,Business,960,0,111.06896551724138
IndiGo,5,12,Chennai,Kolkata,14:45,17:05,0.0,Economy,140,6,44.3448275862069
SpiceJet,6,24,Delhi,Cochin,08:45,13:15,1.0,Economy,270,0,55.310344827586206
IndiGo,6,27,Delhi,Cochin,21:50,03:35,1.0,Economy,345,3,66.37931034482759
Jet Airways,6,6,Kolkata,Banglore,09:35,09:45,1.0,Business,1450,3,121.13793103448276
IndiGo,6,3,Kolkata,Banglore,15:30,18:05,0.0,Economy,155,0,55.2183908045977
Air Asia,6,12,Banglore,Delhi,11:10,13:55,0.0,Economy,165,2,38.88505747126437
IndiGo,3,3,Banglore,New Delhi,12:10,17:05,1.0,Business,295,6,100.4367816091954
Air India,3,27,Delhi,Cochin,05:15,06:50,1.0,Business,1535,2,82.35632183908046
IndiGo,6,24,Delhi,Cochin,16:10,22:30,1.0,Economy,380,0,73.70114942528735
Jet Airways,6,27,Banglore,Delhi,18:55,22:00,0.0,Business,185,3,92.13793103448276
Jet Airways,3,12,Banglore,New Delhi,20:35,15:15,1.0,Business,1120,1,127.4367816091954
SpiceJet,6,27,Chennai,Kolkata,09:45,12:00,0.0,Economy,135,3,40.72413793103448
Jet Airways,6,12,Kolkata,Banglore,16:30,04:40,1.0,Business,730,2,143.3448275862069
Jet Airways,6,24,Delhi,Cochin,09:00,04:25,1.0,Business,1165,0,117.95402298850574
Air India,3,18,Banglore,New Delhi,13:20,16:10,0.0,Economy,170,0,51.04597701149425
Multiple carriers,3,27,Delhi,Cochin,07:05,15:30,1.0,Business,505,2,144.10344827586206
GoAir,3,24,Kolkata,Banglore,22:25,07:40,1.0,Business,555,6,115.98850574712644
Air India,6,3,Banglore,Delhi,21:05,23:55,0.0,Economy,170,0,80.01149425287356
IndiGo,4,24,Delhi,Cochin,05:35,08:50,0.0,Economy,195,2,57.62068965517241
Air India,5,18,Delhi,Cochin,05:10,08:00,0.0,Economy,170,5,79.70114942528735
Multiple carriers,6,3,Delhi,Cochin,06:40,19:00,1.0,Business,740,0,125.02298850574712
Jet Airways,4,18,Banglore,Delhi,15:15,18:10,0.0,Business,175,3,83.0919540229885
IndiGo,3,27,Delhi,Cochin,16:00,01:35,1.0,Business,575,2,81.01149425287356
Vistara,6,27,Banglore,Delhi,17:00,19:35,0.0,Economy,155,3,56.06896551724138
Jet Airways,5,21,Kolkata,Banglore,14:05,23:35,1.0,Business,570,1,124.64367816091954
Jet Airways,5,18,Delhi,Cochin,23:05,04:25,2.0,Business,1760,5,173.89655172413794
IndiGo,5,12,Banglore,Delhi,00:30,03:25,0.0,Economy,175,6,45.32183908045977
SpiceJet,6,6,Delhi,Cochin,06:05,11:20,1.0,Economy,315,3,64.17241379310344
Multiple carriers,6,6,Delhi,Cochin,07:05,16:10,1.0,Business,545,3,110.8735632183908
Multiple carriers,6,3,Delhi,Cochin,08:30,19:15,1.0,Business,645,0,88.24137931034483
IndiGo,6,1,Delhi,Cochin,05:10,10:05,1.0,Economy,295,5,78.64367816091954
Jet Airways,6,24,Mumbai,Hyderabad,08:45,10:15,0.0,Economy,90,0,57.41379310344828
Vistara,6,9,Kolkata,Banglore,07:10,18:50,1.0,Business,700,6,109.82758620689656
IndiGo,6,1,Banglore,Delhi,01:30,04:15,0.0,Economy,165,5,46.86206896551724
Jet Airways,5,12,Banglore,Delhi,15:15,18:10,0.0,Business,175,6,83.0919540229885
Multiple carriers,6,9,Delhi,Cochin,09:00,19:00,1.0,Business,600,6,140.13793103448276
Air India,4,12,Banglore,Delhi,10:00,12:45,0.0,Economy,165,4,67.94252873563218
Air India,6,12,Delhi,Cochin,09:00,19:15,1.0,Business,615,2,96.22988505747126
Jet Airways,3,18,Mumbai,Hyderabad,07:10,08:35,0.0,Economy,85,0,57.41379310344828
Multiple carriers,5,9,Delhi,Cochin,10:00,19:15,1.0,Business,555,3,164.632183908046
Jet Airways,6,9,Delhi,Cochin,05:30,04:25,2.0,Business,1375,6,149.58620689655172
Air India,6,6,Delhi,Cochin,14:25,19:15,2.0,Business,1730,3,156.2183908045977
Jet Airways,3,3,Delhi,Cochin,05:25,18:50,2.0,Business,2245,6,216.0804597701149
IndiGo,4,27,Banglore,Delhi,23:30,02:20,0.0,Economy,170,5,45.32183908045977
SpiceJet,5,21,Mumbai,Hyderabad,05:45,07:15,0.0,Economy,90,1,22.58620689655172
Jet Airways,5,27,Mumbai,Hyderabad,10:20,11:50,0.0,Economy,90,0,57.41379310344828
Air India,3,24,Kolkata,Banglore,16:50,18:30,1.0,Business,1540,6,168.28735632183907
Air India,4,12,Kolkata,Banglore,20:45,23:20,0.0,Economy,155,4,51.26436781609196
Air India,5,18,Delhi,Cochin,13:00,19:15,1.0,Business,375,5,117.13793103448276
Jet Airways,3,9,Delhi,Cochin,02:15,19:45,1.0,Business,1050,5,159.11494252873564
IndiGo,5,1,Delhi,Cochin,21:50,03:35,1.0,Economy,345,2,72.97701149425288
Air Asia,5,1,Kolkata,Banglore,10:20,12:55,0.0,Economy,155,2,50.67816091954023
Jet Airways,3,6,Delhi,Cochin,18:15,19:45,1.0,Business,1530,2,195.67816091954023
Multiple carriers,5,18,Delhi,Cochin,07:05,21:00,1.0,Business,835,5,157.7816091954023
IndiGo,3,15,Banglore,New Delhi,18:25,21:20,0.0,Business,175,4,101.7816091954023
Multiple carriers,6,24,Delhi,Cochin,08:45,19:00,1.0,Business,615,0,143.95402298850576
Jet Airways,3,18,Banglore,New Delhi,11:40,20:20,1.0,Business,520,0,155.80459770114942
Jet Airways,6,6,Kolkata,Banglore,06:30,12:00,1.0,Business,330,3,124.64367816091954
Multiple carriers,6,9,Delhi,Cochin,09:00,21:00,1.0,Business,720,6,156.17241379310346
SpiceJet,6,12,Chennai,Kolkata,09:45,12:00,0.0,Economy,135,2,40.72413793103448
Vistara,3,18,Chennai,Kolkata,07:05,09:20,0.0,Economy,135,0,55.6551724137931
IndiGo,4,24,Banglore,Delhi,23:30,02:20,0.0,Economy,170,2,45.32183908045977
Jet Airways,6,9,Delhi,Cochin,19:15,04:25,1.0,Business,550,6,121.57471264367815
IndiGo,5,15,Delhi,Cochin,10:35,21:00,1.0,Economy,625,2,80.2183908045977
Vistara,6,27,Chennai,Kolkata,17:45,20:05,0.0,Business,140,3,137.72413793103448
SpiceJet,6,6,Delhi,Cochin,08:45,13:15,1.0,Economy,270,3,60.50574712643678
Vistara,3,3,Delhi,Cochin,06:00,09:10,0.0,Business,190,6,91.96551724137932
Air India,6,1,Delhi,Cochin,19:45,19:15,2.0,Business,1410,5,122.42528735632185
Jet Airways,5,24,Kolkata,Banglore,16:30,19:50,1.0,Business,1640,4,124.64367816091954
Multiple carriers,3,27,Delhi,Cochin,09:45,22:20,1.0,Economy,755,2,75.8735632183908
Air India,3,21,Delhi,Cochin,19:00,19:15,1.0,Economy,1455,3,75.71264367816092
SpiceJet,3,21,Mumbai,Hyderabad,13:10,14:30,0.0,Economy,80,3,36.47126436781609
Air India,5,9,Banglore,Delhi,10:00,12:45,0.0,Economy,165,3,60.0919540229885
Jet Airways,6,21,Banglore,Delhi,07:10,10:10,0.0,Economy,180,4,66.3103448275862
Jet Airways,6,6,Delhi,Cochin,08:00,19:00,1.0,Business,660,3,169.1264367816092
Jet Airways,6,3,Delhi,Cochin,05:30,19:00,2.0,Business,810,0,149.58620689655172
IndiGo,6,3,Banglore,Delhi,22:10,01:00,0.0,Economy,170,0,38.60919540229885
GoAir,3,3,Banglore,New Delhi,20:55,23:50,0.0,Business,175,6,77.26436781609195
IndiGo,3,18,Kolkata,Banglore,09:35,12:20,0.0,Economy,165,0,51.28735632183908
IndiGo,3,9,Delhi,Cochin,04:55,16:10,1.0,Economy,675,5,70.93103448275862
Air India,5,21,Kolkata,Banglore,05:50,20:25,2.0,Business,875,1,141.41379310344828
Multiple carriers,3,21,Delhi,Cochin,11:40,01:35,1.0,Business,835,3,88.44827586206897
IndiGo,6,24,Delhi,Cochin,11:25,01:30,1.0,Economy,845,0,65.33333333333333
Air India,6,12,Kolkata,Banglore,16:50,07:55,1.0,Business,905,2,96.16091954022988
Air India,3,1,Chennai,Kolkata,11:40,13:55,0.0,First Class,135,4,225.632183908046
Jet Airways,3,6,Banglore,New Delhi,14:05,05:05,1.0,Business,900,2,155.19540229885058
Jet Airways,5,1,Kolkata,Banglore,21:10,10:05,1.0,Business,775,2,169.89655172413794
Multiple carriers,6,12,Delhi,Cochin,07:10,16:10,1.0,Economy,540,2,74.86206896551724
Air India,6,1,Delhi,Cochin,07:00,19:15,1.0,Business,735,5,114.1264367816092
Multiple carriers,6,6,Delhi,Cochin,17:50,01:30,2.0,Business,460,3,210.05747126436785
Air India,4,9,Delhi,Cochin,06:05,09:25,1.0,Economy,1640,1,51.57471264367816
IndiGo,3,15,Mumbai,Hyderabad,21:20,22:45,0.0,Economy,85,4,31.655172413793103
Air India,3,27,Mumbai,Hyderabad,06:20,07:40,0.0,Economy,80,2,29.597701149425287
SpiceJet,6,12,Kolkata,Banglore,15:55,21:25,1.0,Business,330,2,94.52873563218392
Air India,3,9,Delhi,Cochin,20:30,08:15,1.0,Business,705,5,103.34482758620688
IndiGo,6,24,Delhi,Cochin,05:35,08:50,0.0,Economy,195,0,57.47126436781609
Jet Airways,6,12,Kolkata,Banglore,18:55,19:50,1.0,Business,1495,2,98.03448275862068
Air India,3,3,Delhi,Cochin,06:05,09:25,1.0,Business,1640,6,161.4022988505747
Jet Airways,5,24,Banglore,Delhi,11:10,14:05,0.0,Economy,175,4,46.32183908045977
Jet Airways,6,6,Kolkata,Banglore,18:55,12:00,1.0,Business,1025,3,124.64367816091954
IndiGo,5,6,Kolkata,Banglore,21:25,00:05,0.0,Economy,160,0,55.2183908045977
Multiple carriers,5,27,Delhi,Cochin,17:30,01:30,1.0,Business,480,0,84.0
IndiGo,5,12,Banglore,Delhi,16:55,19:55,0.0,Economy,180,6,55.4367816091954
