Air India,GoAir,IndiGo,Jet Airways,Jet Airways Business,Multiple carriers,Multiple carriers Premium economy,SpiceJet,Trujet,Vistara,Vistara Premium economy,Chennai,Delhi,Kolkata,Mumbai,Dest_Cochin,Dest_Delhi,Dest_Hyderabad,Dest_Kolkata,Dest_New Delhi,Medium,Short,month,day ,Total_Stops,Dgree,Duration(Minutes),day_number,Price_USD,Dep_Time_hour,Dep_Time_min,Arrival_Time_hour,Arrival_Time_min
0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,5,27,1.0,1,1235,0,148.2528735632184,16,0,12,35
0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,3,6,1.0,1,310,2,224.0804597701149,14,10,19,20
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,3,21,1.0,1,920,3,79.94252873563218,22,0,13,20
0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,4,3,0.0,0,170,2,45.32183908045977,4,0,6,50
0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,5,1,0.0,0,175,2,55.4367816091954,18,55,21,50
0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,5,6,1.0,1,800,0,89.16091954022988,18,55,8,15
0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,6,9,2.0,1,910,6,152.7816091954023,21,25,12,35
0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,6,1,1.0,1,345,5,94.6896551724138,21,50,3,35
0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,5,15,1.0,1,355,2,88.29885057471265,7,0,12,55
0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,6,18,0.0,0,170,1,53.6551724137931,9,45,12,35
0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,1,6,15,0.0,0,135,5,42.37931034482759,7,5,9,20
0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,1,6,18,0.0,0,135,1,42.37931034482759,7,5,9,20
1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,5,1,2.0,1,805,2,152.0344827586207,9,50,23,15
0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,4,6,0.0,0,170,5,50.83908045977012,4,0,6,50
0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,6,15,2.0,1,1320,5,125.5057471264368,14,35,12,35
0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,5,18,1.0,1,330,5,142.2183908045977,7,5,12,35
0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,6,27,1.0,0,625,3,67.74712643678161,10,35,21,0
0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,5,21,1.0,0,315,1,53.4367816091954,15,5,20,20
1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,5,18,0.0,0,150,5,71.7816091954023,14,15,16,45
0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,3,6,1.0,2,375,2,220.97701149425288,7,0,13,15
0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,6,3,1.0,1,715,0,171.54022988505747,7,5,19,0
0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,5,21,1.0,1,665,1,110.8735632183908,7,5,18,10
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,3,15,1.0,1,510,4,100.16091954022988,6,45,15,15
0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,5,18,1.0,1,1325,5,142.2183908045977,20,55,19,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,5,6,0.0,0,165,0,38.88505747126437,11,10,13,55
0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,3,21,1.0,1,720,3,150.13793103448276,9,0,21,0
0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,3,24,0.0,0,170,6,40.54022988505747,5,45,8,35
0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,5,27,0.0,0,170,0,45.32183908045977,4,0,6,50
1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,5,3,0.0,0,135,4,53.64367816091954,11,40,13,55
1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,5,15,1.0,0,965,2,70.3103448275862,19,0,11,5
0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,6,27,2.0,1,1195,3,128.16091954022988,23,5,19,0
0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,3,9,0.0,1,195,5,82.7816091954023,11,0,14,15
0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,5,1,1.0,1,1520,2,139.32183908045977,9,35,10,55
0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,3,24,0.0,0,170,6,50.310344827586206,22,20,1,10
0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,6,18,0.0,0,180,1,45.32183908045977,21,15,0,15
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,4,3,0.0,0,170,2,51.52873563218391,23,55,2,45
0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,3,24,1.0,1,975,6,163.57471264367817,19,45,12,0
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,3,1,2.0,1,905,4,199.367816091954,8,50,23,55
0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,1,3,6,0.0,1,135,2,85.2183908045977,7,5,9,20
0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,5,6,1.0,1,390,0,92.79310344827586,19,0,1,30
0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,3,6,1.0,1,1505,2,142.4712643678161,15,40,16,45
1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,6,6,1.0,1,745,3,96.16091954022988,9,25,21,50
1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,4,3,1.0,0,1640,2,58.81609195402299,6,5,9,25
0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,6,3,1.0,1,615,0,143.95402298850576,8,45,19,0
0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,5,15,1.0,1,630,2,82.65517241379311,15,0,1,30
0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,1,5,24,0.0,0,135,4,42.37931034482759,7,5,9,20
0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,6,24,1.0,0,625,0,67.74712643678161,10,35,21,0
0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,4,24,0.0,0,170,2,62.10344827586207,9,45,12,35
1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,5,6,0.0,0,90,0,41.66666666666666,13,55,15,25
1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,5,21,2.0,1,800,1,124.83908045977012,5,55,19,15
0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,3,12,0.0,1,135,1,72.37931034482759,13,20,15,35
0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,6,1,0.0,1,85,5,65.26436781609195,7,5,8,30
0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,3,9,1.0,1,1590,5,104.98850574712644,5,45,8,15
0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,6,24,1.0,1,440,0,124.03448275862068,11,40,19,0
0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,6,24,2.0,1,810,0,147.3448275862069,23,5,12,35
0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,3,21,1.0,0,300,3,79.22988505747126,5,5,10,5
0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,3,9,0.0,1,165,5,83.2183908045977,9,50,12,35
0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,4,3,0.0,0,170,2,44.80459770114943,11,40,14,30
0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,4,3,0.0,0,90,2,46.54022988505747,6,25,7,55
0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,6,15,1.0,1,1145,5,117.95402298850574,17,30,12,35
0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,1,3,21,0.0,0,135,3,38.298850574712645,8,20,10,35
0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,6,9,1.0,1,890,6,124.64367816091954,21,10,12,0
0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,3,24,0.0,1,160,6,83.0919540229885,19,55,22,35
0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,5,6,1.0,1,1330,0,160.24137931034485,6,30,4,40
0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,6,27,1.0,0,575,3,67.74712643678161,11,25,21,0
0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,5,18,1.0,1,600,5,117.20689655172414,9,0,19,0
0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,3,6,1.0,1,1280,2,157.60919540229884,14,5,11,25
0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,6,24,1.0,0,325,0,64.7816091954023,2,0,7,25
0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,6,6,2.0,1,1125,3,149.58620689655172,9,40,4,25
0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,4,1,1.0,1,740,0,81.19540229885058,8,25,20,45
0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,5,24,1.0,1,1080,4,123.02298850574712,20,25,14,25
0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,5,27,1.0,1,555,0,110.8735632183908,13,15,22,30
0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,3,6,1.0,1,665,2,196.05747126436785,2,15,13,20
0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,3,12,1.0,1,1050,1,158.816091954023,16,55,10,25
1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,3,6,2.0,1,800,2,158.02298850574712,5,55,19,15
1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,4,21,0.0,0,155,6,56.0919540229885,20,45,23,20
0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,6,21,0.0,0,145,4,40.689655172413794,5,15,7,40
0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,5,15,0.0,0,160,2,37.4367816091954,5,55,8,35
0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,6,3,0.0,0,180,0,74.45977011494253,19,50,22,50
0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,6,18,0.0,1,85,1,92.41379310344828,7,5,8,30
0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,6,12,2.0,1,995,2,164.367816091954,20,0,12,35
0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,5,15,1.0,1,740,2,169.89655172413794,8,25,20,45
0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,6,9,1.0,1,735,6,171.71264367816093,20,0,8,15
0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,6,24,1.0,1,450,0,117.95402298850574,20,55,4,25
1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,5,12,1.0,1,1440,6,75.03448275862068,14,35,14,35
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,5,1,0.0,0,165,2,70.35632183908046,6,10,8,55
0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,5,18,2.0,1,535,5,149.75862068965515,19,30,4,25
0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,3,27,1.0,1,430,2,131.27586206896552,11,40,18,50
0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,3,27,1.0,1,870,2,87.05747126436782,4,45,19,15
1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,5,9,2.0,1,1820,3,133.28735632183907,12,55,19,15
0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,5,24,2.0,1,1195,4,173.89655172413794,23,5,19,0
0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,3,18,1.0,1,900,0,155.80459770114942,14,5,5,5
0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,4,12,0.0,0,175,4,66.4367816091954,18,55,21,50
0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,5,12,1.0,1,765,6,108.01149425287356,20,20,9,5
0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,3,6,1.0,1,610,2,195.67816091954023,18,15,4,25
0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,6,27,1.0,0,355,3,60.70114942528736,7,0,12,55
0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,5,18,1.0,1,925,5,118.94252873563218,7,5,22,30
1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,3,6,1.0,1,965,2,145.71264367816093,17,20,9,25
0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,3,3,1.0,1,610,6,174.10344827586206,15,25,1,35
0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,6,12,0.0,0,160,2,53.6551724137931,7,0,9,40
0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,5,9,1.0,1,715,3,178.7816091954023,7,5,19,0
0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,4,9,0.0,0,160,1,45.64367816091954,5,55,8,35
1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,5,3,0.0,0,85,4,35.632183908045974,15,0,16,25
0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,5,6,1.0,1,845,0,111.06896551724138,20,0,10,5
1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,3,1,1.0,2,1215,4,315.28735632183907,23,0,19,15
0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,5,12,0.0,0,145,6,40.689655172413794,5,15,7,40
1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,5,21,2.0,1,1390,1,122.71264367816092,12,0,11,10
0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,6,12,1.0,1,1090,2,149.93103448275863,14,5,8,15
0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,5,6,1.0,1,960,0,165.3793103448276,20,0,12,0
0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,6,24,0.0,0,170,0,45.32183908045977,4,0,6,50
0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,6,3,0.0,0,140,0,41.3448275862069,14,45,17,5
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,3,21,1.0,0,480,3,68.183908045977,11,50,19,50
0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,6,15,1.0,1,1015,5,117.95402298850574,11,30,4,25
0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0,5,12,0.0,0,190,6,71.44827586206897,14,40,17,50
0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,6,15,0.0,0,165,5,55.2183908045977,20,25,23,10
0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,5,21,1.0,1,840,1,161.68965517241378,11,30,1,30
0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,5,18,2.0,1,1430,5,173.89655172413794,19,10,19,0
0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,6,6,2.0,1,1300,3,153.7471264367816,6,45,4,25
1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,6,27,2.0,1,1275,3,120.01149425287356,22,0,19,15
0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,5,24,0.0,0,165,4,46.32183908045977,6,0,8,45
0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,3,3,1.0,1,650,6,195.67816091954023,8,0,18,50
0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,4,9,1.0,1,480,1,149.6206896551724,17,30,1,30
0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,6,6,1.0,1,495,3,76.85057471264368,23,30,7,45
0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,6,15,1.0,0,325,5,64.7816091954023,2,0,7,25
0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,6,9,1.0,0,515,6,74.04597701149426,7,35,16,10
0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,5,21,1.0,1,710,1,109.03448275862068,13,5,0,55
0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,5,21,1.0,1,1655,1,124.64367816091954,20,0,23,35
0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,6,3,2.0,1,505,0,176.06896551724137,20,0,4,25
1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,4,3,1.0,0,1255,2,58.81609195402299,12,30,9,25
0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,6,24,1.0,0,290,0,70.65517241379311,15,10,20,0
0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,6,9,1.0,1,490,6,80.51724137931035,12,50,21,0
0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,4,3,0.0,0,140,2,44.51724137931034,22,20,0,40
0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,3,21,2.0,1,1465,3,106.55172413793105,18,25,18,50
0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,6,27,0.0,0,170,3,44.80459770114943,11,40,14,30
0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,5,12,1.0,1,740,6,169.89655172413794,8,25,20,45
0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,5,24,1.0,1,735,4,98.6896551724138,20,0,8,15
1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,5,9,2.0,1,1415,3,122.95402298850574,8,20,7,55
0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,6,27,2.0,1,995,3,164.367816091954,20,0,12,35
0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,3,3,0.0,1,170,6,101.7816091954023,18,55,21,45
0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,5,12,1.0,1,1545,6,124.64367816091954,16,30,18,15
0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,3,6,1.0,1,1570,2,195.67816091954023,2,15,4,25
0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,5,1,1.0,1,1730,2,107.05747126436782,9,35,14,25
0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,3,24,0.0,0,165,6,54.9080459770115,0,40,3,25
1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,6,9,1.0,1,1515,6,88.06896551724138,12,0,13,15
0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,5,9,1.0,0,560,3,74.04597701149426,6,50,16,10
0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0,6,12,1.0,0,270,2,60.50574712643678,8,45,13,15
0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,5,27,1.0,1,925,0,148.2528735632184,13,0,4,25
1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,3,3,0.0,1,90,6,70.02298850574712,13,55,15,25
0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,5,21,0.0,0,160,1,38.05747126436781,5,55,8,35
0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,3,27,1.0,0,550,2,75.17241379310344,19,15,4,25
0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,5,27,0.0,0,165,0,39.298850574712645,1,30,4,15
0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,4,3,1.0,0,1355,2,59.50574712643678,14,0,12,35
1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,4,18,0.0,1,185,3,94.7816091954023,18,5,21,10
0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,6,9,1.0,1,690,6,168.68965517241378,9,35,21,5
0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,6,27,1.0,1,570,3,156.17241379310346,11,30,21,0
0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,5,6,1.0,1,730,0,111.06896551724138,21,10,9,20
0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,6,12,1.0,1,1055,2,149.93103448275863,16,30,10,5
0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,4,3,1.0,0,305,2,58.310344827586206,20,25,1,30
0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,5,21,1.0,1,1550,1,107.41379310344828,17,0,18,50
0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,5,6,1.0,1,1200,0,111.06896551724138,14,5,10,5
0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,5,21,1.0,1,780,1,164.10344827586206,8,0,21,0
0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,6,1,1.0,1,1105,5,117.95402298850574,10,0,4,25
0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,3,27,0.0,1,90,2,65.26436781609195,19,35,21,5
